,feature,p_value,x_2
0,abierta,1.27819593832e-05,27.9475524476
1,acceso,0.000321722566418,20.9653179191
2,acondicionado,0.000249926832989,21.5179153094
3,agua,0.162840081729,6.53112033195
4,aire,1.23604154141e-05,28.0194174757
5,aires,5.31112697544e-231,1073.02861562
6,almagro,3.50367227854e-17,83.2859960552
7,alta,1.43195849564e-10,51.9224137931
8,alto,3.06592607549e-05,26.0681265207
9,amb,3.16936473749e-64,302.47471127
10,ambiente,4.34102061922e-18,87.5603759942
11,ambientes,7.78646698527e-68,319.204660821
12,amenities,8.53316773814e-53,249.454326923
13,amplia,0.000534296254109,19.8513513514
14,amplio,1.27986128158e-07,37.7201086957
15,amplios,7.08555363646e-16,77.1223021583
16,anticipo,2.87550123608e-17,83.6906318083
17,apto,2.56302010688e-47,224.015539305
18,argentina,5.8056878627e-265,1229.69842738
19,ariel,5.00646387844e-49,231.95584989
20,aterrazado,0.00608884202103,14.412371134
21,av,0.000416657418612,20.3981552652
22,avenida,0.000823779769206,18.896039604
23,años,4.82019511498e-05,25.0924369748
24,baja,1.49009211727e-27,131.950566426
25,bajas,0.000260262801156,21.4293193717
26,bajo,0.0504456245001,9.46623794212
27,balcon,1.43242116259e-27,132.030706244
28,balcón,0.331091980708,4.59793814433
29,balvanera,4.15961199803e-15,73.488372093
30,barra,0.000169632936116,22.3636363636
31,barracas,2.23195674351e-07,36.5479452055
32,barrio,5.39109850307e-09,44.3637759018
33,baulera,6.00351344121e-10,48.9420970266
34,baño,5.14278727167e-25,120.077075099
35,baños,0.000123933128081,23.046728972
36,belgrano,3.10536213586e-115,538.527105922
37,boedo,5.74743870664e-49,231.677419355
38,boleto,0.0153483962922,12.2857142857
39,buen,2.96298451407e-21,102.447249775
40,buena,2.58189834538e-05,26.4379562044
41,buenos,2.76118713751e-216,1005.12886209
42,caballito,3.72706963924e-11,54.7154255319
43,cabildo,4.76735918848e-13,63.7283950617
44,cac,1.2917458109e-41,197.505376344
45,calefaccion,0.0468623729413,9.64444444444
46,calidad,4.66202307718e-07,34.9924242424
47,calle,1.59986029219e-08,42.0875912409
48,capital,1.58193447462e-130,609.199379364
49,carlos,1.31572704185e-23,113.482071713
50,casa,3.43608710331e-159,741.590078329
51,categoria,5.98458754271e-49,231.595854922
52,cerca,0.000233089125532,21.6703296703
53,cercano,4.20718869058e-12,59.2314814815
54,chacabuco,2.56251745349e-17,83.9266055046
55,champanier,6.78882321249e-47,222.049886621
56,ciudad,0.0084215233131,13.6712962963
57,cochera,1.07883712401e-54,258.264525272
58,cocheras,7.97244198006e-35,165.889290012
59,cocina,5.26433002192e-33,157.405314213
60,codigo,1.84020993025e-45,215.389990557
61,colectivos,3.64028386646e-10,49.9831223629
62,comedor,1.85327110414e-33,159.519671169
63,comercial,1.28340484042e-07,37.7142857143
64,comodo,7.98302674688e-11,53.1355311355
65,completa,1.60255325127e-05,27.4626038781
66,completo,2.28476094317e-20,98.2805296714
67,completos,0.0445726495744,9.76528117359
68,congreso,0.0527967375561,9.35576923077
69,consta,3.24602650499e-07,35.7573964497
70,construccion,5.37267458846e-06,29.8010752688
71,contacto,0.0,1650.66353111
72,contrafrente,2.29283503522e-08,41.3333333333
73,corazon,3.89218547779e-05,25.5539033457
74,cordoba,7.8173887698e-06,29.0
75,corrido,3.83526993871e-05,25.5856697819
76,corrientes,4.40089341175e-07,35.1142857143
77,crespo,2.1858493051e-20,98.3708439898
78,cristobal,0.00870997072579,13.5940594059
79,cuadra,9.28219146826e-07,33.5347222222
80,cuadras,0.00251045746156,16.4145706852
81,cubierta,0.00223444342835,16.6756756757
82,cubiertos,2.48616350048e-13,65.0709382151
83,cucicba,1.89535439266e-164,765.870045484
84,cuenta,0.0152509958242,12.3005181347
85,cuotas,8.74070579753e-40,188.988962472
86,depa,1.08820826071e-59,281.443708609
87,departamento,1.83323398897e-47,224.691723246
88,departamentos,6.10758438943e-08,39.2765957447
89,dependencia,2.05022426296e-07,36.7270765912
90,dependencias,0.388796052271,4.12925170068
91,depto,8.45230231126e-27,128.426035503
92,detalles,0.217057842471,5.76923076923
93,diario,5.05662932924e-12,58.8512110727
94,diseño,9.5642198648e-11,52.7604562738
95,distribucion,0.00538680640055,14.6910569106
96,divisible,3.1772927667e-09,45.4683026585
97,doble,0.706409632932,2.15972222222
98,dormitorio,7.11699547213e-10,48.5878594249
99,dormitorios,3.37683616205e-30,144.306338028
100,dos,1.23483442151e-09,47.4398782344
101,dpto,0.167959045447,6.45014245014
102,duplex,0.13084484755,7.09710391823
103,edificio,1.79345912581e-27,131.574324324
104,emprendimiento,0.19626212687,6.03889789303
105,encuentra,5.16452646223e-09,44.4535147392
106,entrada,5.92391298272e-34,161.829145729
107,entrega,1.55191379433e-06,32.4444444444
108,escalera,7.67263683406e-56,263.591836735
109,escritorio,8.5253320357e-06,28.8146214099
110,espacio,1.14560867286e-06,33.0886075949
111,espectacular,3.49251535516e-09,45.2707774799
112,esquina,0.00805772928821,13.7724867725
113,estacion,0.0134714639708,12.5885416667
114,estilo,0.00023862494627,21.619047619
115,estrenar,9.73963309554e-51,239.902043965
116,estudio,0.000181238362401,22.2194092827
117,excelente,4.32715653353e-17,82.853633146
118,excelentes,0.000966485851318,18.5423728814
119,expensas,1.93348030606e-27,131.421686747
120,fe,9.63989029316e-16,76.4905660377
121,federal,8.74709582222e-128,596.526989204
122,fija,9.62566686431e-10,47.9589442815
123,flores,1.13400015897e-13,66.6885813149
124,fondo,7.86292730053e-12,57.9380530973
125,forma,2.07381299593e-05,26.9090909091
126,frente,7.85016223284e-10,48.3836734694
127,garage,7.35064262455e-44,207.9453125
128,gran,3.28315196155e-05,25.9206842924
129,guastello,5.57583292204e-31,147.957805907
130,gustavo,5.27574980325e-36,171.384615385
131,hall,1.03081112839e-11,57.3777239709
132,hermoso,1.62195538209e-05,27.4367816092
133,hollywood,1.68507394522e-20,98.9017857143
134,hs,4.23068056779e-16,78.1802575107
135,id,0.0,1665.06188925
136,ideal,0.0241520880655,11.2246376812
137,impecable,0.00613992024244,14.3933434191
138,importante,0.0195203358063,11.7246963563
139,independiente,3.31498217934e-27,130.326947637
140,inmediata,0.00162988913425,17.3807531381
141,inmejorable,0.138543900927,6.95019157088
142,inmobiliaria,1.13760933857e-12,61.9335793358
143,inmobiliarios,0.000276858188736,21.2941176471
144,integrada,1.47140435035e-09,47.0744810745
145,jacuzzi,4.6084349109e-09,44.691588785
146,jardin,3.4082623121e-07,35.6543909348
147,jorge,1.03084838005e-15,76.3529411765
148,juan,1.94172556559e-14,70.3211678832
149,lateral,0.00438061529346,15.16
150,laundry,7.80758944797e-15,72.1944444444
151,lavadero,2.65490821752e-25,121.421348315
152,libertador,2.32407521294e-32,154.397306397
153,linea,0.000326403037915,20.9336734694
154,lineas,8.26020768671e-12,57.8360655738
155,living,7.89270341941e-31,147.253394973
156,livingcomedor,2.82573196888e-05,26.243767313
157,local,2.58406154387e-46,219.352320675
158,loft,0.216812448132,5.77227722772
159,lote,1.98366531746e-41,196.63876652
160,luis,4.26886417353e-13,63.9562043796
161,luminoso,4.51956922993e-17,82.7645195354
162,luz,7.07625146813e-08,38.9671179884
163,m2,3.32224193207e-20,97.5164761264
