,1,2,3,4,5
000_aug,5,4,3,8,5
000_cucicb,0,1,47,1,0
000_descubiert,0,12,13,2,8
000bauler_u,3,29,0,0,0
000m2_terren,0,6,36,0,0
000subsuel_cubiert,0,0,37,0,0
00_m2,2,2,17,3,2
00_x,7,4,5,5,4
100_cuot,9,1,0,13,2
100_metr,8,1,11,6,8
100_pes,25,12,1,1,10
100_public,13,9,4,14,17
10_pis,9,42,29,1,15
10_x,11,3,3,11,6
1100_public,8,3,6,4,7
1200_public,12,8,1,8,6
12_pis,16,54,41,5,20
1300_public,6,4,6,6,17
13_mil,0,2,16,0,9
1400_public,12,2,2,5,10
14_pis,12,8,3,3,2
1500_public,2,5,6,6,6
15_4,3,35,36,0,0
1600_public,9,5,7,10,11
1700_public,7,3,6,5,4
18_cuot,10,5,1,1,12
1900_public,2,5,5,2,13
1_2,98,89,139,122,79
1_amb,18,14,10,42,27
1_ambient,102,117,90,63,155
1_baã,49,27,24,28,35
1_cuadr,62,67,32,50,88
1_dormitori,42,64,182,18,26
1_pis,13,13,3,7,15
1_suit,11,7,18,17,10
1_toilett,11,6,5,6,6
1er_pis,31,8,11,31,10
1â_pis,17,3,2,6,4
1âº_pis,28,11,7,23,10
2016_cocher,2,18,10,0,0
2016_efeg,5,4,0,17,4
2016_moment,3,33,36,0,0
2016_obra,19,7,3,0,0
20_x,13,9,6,11,5
21_pis,0,0,34,0,1
2300_public,6,3,8,4,9
23_000subsuel,0,0,37,0,0
2400_public,3,4,2,10,7
24_cuot,29,16,15,22,12
24_hor,0,5,12,3,10
24_hs,8,14,62,12,31
24_pis,3,9,39,0,1
25_000,1,9,28,6,6
25_000bauler,3,29,0,0,0
26_mts,0,0,29,1,0
2700_public,7,2,4,8,8
28_000,0,4,15,2,5
2_1,12,10,3,4,1
2_2,9,7,1,8,1
2_3,64,98,160,79,60
2_625,3,23,0,0,0
2_amb,117,77,49,70,63
2_ambient,436,378,328,334,476
2_ampli,12,7,7,16,16
2_ascensor,14,9,17,21,20
2_aut,11,1,5,15,7
2_aã,8,3,7,4,6
2_balcon,7,12,9,12,17
2_baã,78,36,55,57,62
2_cocher,5,12,22,15,31
2_cuadr,79,56,56,64,58
2_departament,5,7,13,4,2
2_dorm,4,4,2,8,6
2_dormitori,178,88,191,127,104
2_habit,12,4,3,13,1
2_pati,20,2,9,12,5
2_pis,19,8,3,11,11
2_plant,64,11,15,63,12
2_suit,0,2,14,6,5
2_unidad,7,3,1,10,7
2_x,9,12,5,4,8
2do_dormitori,6,3,4,10,8
2do_pis,16,13,10,10,4
2âº_pis,16,2,2,7,2
300_metr,7,3,11,12,11
300_public,13,4,3,9,23
30_000,1,3,30,1,2
30_aã,1,3,18,2,11
30_bolet,2,7,5,8,6
30_cuot,12,29,2,0,0
30_m2,5,7,6,1,11
