clase,palabra,cant
1,abierta,130
2,abierta,90
3,abierta,125
4,abierta,80
5,abierta,147
1,acceso,94
2,acceso,47
3,acceso,64
4,acceso,83
5,acceso,58
1,acondicionado,86
2,acondicionado,55
3,acondicionado,59
4,acondicionado,37
5,acondicionado,70
1,agua,51
2,agua,49
3,agua,38
4,agua,42
5,agua,61
1,aire,131
2,aire,110
3,aire,95
4,aire,61
5,aire,118
1,aires,133
2,aires,299
3,aires,699
4,aires,120
5,aires,42
1,almagro,143
2,almagro,67
3,almagro,47
4,almagro,152
5,almagro,98
1,alta,62
2,alta,29
3,alta,33
4,alta,82
5,alta,26
1,alto,59
2,alto,90
3,alto,109
4,alto,57
5,alto,96
1,amb,841
2,amb,448
3,amb,361
4,amb,475
5,amb,386
1,ambiente,259
2,ambiente,337
3,ambiente,295
4,ambiente,151
5,ambiente,341
1,ambientes,2349
2,ambientes,1408
3,ambientes,1479
4,ambientes,1756
5,ambientes,1676
1,amenities,74
2,amenities,206
3,amenities,313
4,amenities,67
5,amenities,172
1,amplia,119
2,amplia,72
3,amplia,71
4,amplia,102
5,amplia,80
1,amplio,543
2,amplio,390
3,amplio,391
4,amplio,418
5,amplio,466
1,amplios,212
2,amplios,81
3,amplios,98
4,amplios,154
5,amplios,150
1,anticipo,97
2,anticipo,94
3,anticipo,125
4,anticipo,125
5,anticipo,18
1,apto,383
2,apto,536
3,apto,657
4,apto,270
5,apto,342
1,argentina,69
2,argentina,249
3,argentina,651
4,argentina,93
5,argentina,19
1,ariel,193
2,ariel,110
3,ariel,108
4,ariel,30
5,ariel,12
1,aterrazado,43
2,aterrazado,64
3,aterrazado,66
4,aterrazado,43
5,aterrazado,75
1,av,587
2,av,461
3,av,477
4,av,546
5,av,531
1,avenida,92
2,avenida,51
3,avenida,72
4,avenida,100
5,avenida,89
1,años,125
2,años,57
3,años,98
4,años,101
5,años,95
1,baja,284
2,baja,131
3,baja,154
4,baja,278
5,baja,124
1,bajas,111
2,bajas,60
3,bajas,65
4,bajas,70
5,bajas,76
1,bajo,58
2,bajo,62
3,bajo,82
4,bajo,49
5,bajo,60
1,balcon,883
2,balcon,786
3,balcon,721
4,balcon,549
5,balcon,969
1,balcón,100
2,balcón,100
3,balcón,91
4,balcón,83
5,balcón,111
1,balvanera,84
2,balvanera,25
3,balvanera,12
4,balvanera,56
5,balvanera,38
1,barra,33
2,barra,51
3,barra,51
4,barra,23
5,barra,62
1,barracas,52
2,barracas,63
3,barracas,30
4,barracas,58
5,barracas,16
1,barrio,261
2,barrio,282
3,barrio,263
4,barrio,175
5,barrio,322
1,baulera,97
2,baulera,130
3,baulera,173
4,baulera,80
5,baulera,159
1,baño,776
2,baño,533
3,baño,440
4,baño,579
5,baño,708
1,baños,162
2,baños,87
3,baños,139
4,baños,127
5,baños,127
1,belgrano,94
2,belgrano,223
3,belgrano,526
4,belgrano,83
5,belgrano,273
1,boedo,133
2,boedo,53
3,boedo,17
4,boedo,172
5,boedo,28
1,boleto,59
2,boleto,42
3,boleto,63
4,boleto,33
5,boleto,48
1,buen,305
2,buen,167
3,buen,128
4,buen,285
5,buen,224
1,buena,158
2,buena,129
3,buena,118
4,buena,103
5,buena,177
1,buenos,145
2,buenos,305
3,buenos,697
4,buenos,128
5,buenos,52
1,caballito,117
2,caballito,190
3,caballito,199
4,caballito,94
5,caballito,152
1,cabildo,17
2,cabildo,63
3,cabildo,68
4,cabildo,20
5,cabildo,75
1,cac,31
2,cac,93
3,cac,129
4,cac,13
5,cac,13
1,calefaccion,41
2,calefaccion,42
3,calefaccion,43
4,calefaccion,36
5,calefaccion,63
1,calidad,95
2,calidad,100
3,calidad,137
4,calidad,63
5,calidad,133
1,calle,204
2,calle,117
3,calle,116
4,calle,131
5,calle,117
1,capital,355
2,capital,481
3,capital,1005
4,capital,415
5,capital,322
1,carlos,112
2,carlos,50
3,carlos,30
4,carlos,47
5,carlos,12
1,casa,547
2,casa,91
3,casa,151
4,casa,584
5,casa,159
1,categoria,96
2,categoria,189
3,categoria,337
4,categoria,89
5,categoria,254
1,cerca,80
2,cerca,50
3,cerca,50
4,cerca,33
5,cerca,60
1,cercano,56
2,cercano,26
3,cercano,25
4,cercano,82
5,cercano,27
1,chacabuco,74
2,chacabuco,24
3,chacabuco,6
4,chacabuco,74
5,chacabuco,40
1,champanier,186
2,champanier,106
3,champanier,108
4,champanier,29
5,champanier,12
1,ciudad,82
2,ciudad,75
3,ciudad,116
4,ciudad,74
5,ciudad,85
1,cochera,353
2,cochera,357
3,cochera,686
4,cochera,253
5,cochera,468
1,cocheras,77
2,cocheras,214
3,cocheras,255
4,cocheras,78
5,cocheras,207
1,cocina,1229
2,cocina,809
3,cocina,749
4,cocina,908
5,cocina,1047
1,codigo,499
2,codigo,267
3,codigo,255
4,codigo,575
5,codigo,522
1,colectivos,53
2,colectivos,25
3,colectivos,34
4,colectivos,87
5,colectivos,38
1,comedor,881
2,comedor,505
3,comedor,523
4,comedor,791
5,comedor,706
1,comercial,69
2,comercial,45
3,comercial,63
4,comercial,113
5,comercial,95
1,comodo,102
2,comodo,49
3,comodo,36
4,comodo,41
5,comodo,45
1,completa,95
2,completa,46
3,completa,51
4,completa,81
5,completa,88
1,completo,507
2,completo,373
3,completo,276
4,completo,373
5,completo,510
1,completos,87
2,completos,62
3,completos,80
4,completos,79
5,completos,101
1,congreso,55
2,congreso,34
3,congreso,30
4,congreso,45
5,congreso,44
1,consta,94
2,consta,48
3,consta,38
4,consta,89
5,consta,69
1,construccion,75
2,construccion,63
3,construccion,110
4,construccion,46
5,construccion,78
1,contacto,1225
2,contacto,770
3,contacto,566
4,contacto,156
5,contacto,47
1,contrafrente,307
2,contrafrente,267
3,contrafrente,182
4,contrafrente,253
5,contrafrente,311
1,corazon,43
2,corazon,49
3,corazon,78
4,corazon,32
5,corazon,67
1,cordoba,34
2,cordoba,37
3,cordoba,48
4,cordoba,34
5,cordoba,77
1,corrido,118
2,corrido,128
3,corrido,97
4,corrido,124
5,corrido,175
1,corrientes,100
2,corrientes,62
3,corrientes,33
4,corrientes,75
5,corrientes,80
1,crespo,102
2,crespo,246
3,crespo,196
4,crespo,115
5,crespo,123
1,cristobal,50
2,cristobal,33
3,cristobal,56
4,cristobal,32
5,cristobal,31
1,cuadra,206
2,cuadra,182
3,cuadra,117
4,cuadra,153
5,cuadra,206
1,cuadras,279
2,cuadras,205
3,cuadras,206
4,cuadras,241
5,cuadras,222
1,cubierta,77
2,cubierta,81
3,cubierta,116
4,cubierta,69
5,cubierta,101
1,cubiertos,146
2,cubiertos,54
3,cubiertos,58
4,cubiertos,101
5,cubiertos,78
1,cucicba,586
2,cucicba,452
3,cucicba,393
4,cucicba,81
5,cucicba,27
1,cuenta,215
2,cuenta,156
3,cuenta,192
4,cuenta,187
5,cuenta,215
1,cuotas,262
2,cuotas,104
3,cuotas,150
4,cuotas,296
5,cuotas,94
1,depa,91
2,depa,5
3,depa,22
4,depa,161
5,depa,23
1,departamento,2382
2,departamento,2284
3,departamento,3001
4,departamento,2033
5,departamento,2672
1,departamentos,126
2,departamentos,171
3,departamentos,184
4,departamentos,91
5,departamentos,133
1,dependencia,220
2,dependencia,123
3,dependencia,167
4,dependencia,196
5,dependencia,221
1,dependencias,60
2,dependencias,50
3,dependencias,61
4,dependencias,53
5,dependencias,70
1,depto,298
2,depto,151
3,depto,126
4,depto,152
5,depto,118
1,detalles,90
2,detalles,74
3,detalles,83
4,detalles,62
5,detalles,81
1,diario,145
2,diario,81
3,diario,71
4,diario,168
5,diario,113
1,diseño,34
2,diseño,56
3,diseño,70
4,diseño,19
5,diseño,84
1,distribucion,73
2,distribucion,44
3,distribucion,40
4,distribucion,45
5,distribucion,44
1,divisible,131
2,divisible,124
3,divisible,82
4,divisible,49
5,divisible,103
1,doble,112
2,doble,105
3,doble,121
4,doble,113
5,doble,125
1,dormitorio,401
2,dormitorio,255
3,dormitorio,273
4,dormitorio,283
5,dormitorio,353
1,dormitorios,727
2,dormitorios,368
3,dormitorios,667
4,dormitorios,590
5,dormitorios,488
1,dos,510
2,dos,328
3,dos,385
4,dos,372
5,dos,376
1,dpto,85
2,dpto,67
3,dpto,59
4,dpto,63
5,dpto,77
1,duplex,137
2,duplex,105
3,duplex,128
4,duplex,105
5,duplex,112
1,edificio,567
2,edificio,597
3,edificio,673
4,edificio,376
5,edificio,747
1,emprendimiento,114
2,emprendimiento,138
3,emprendimiento,127
4,emprendimiento,133
5,emprendimiento,105
1,encuentra,140
2,encuentra,56
3,encuentra,81
4,encuentra,88
5,encuentra,76
1,entrada,279
2,entrada,112
3,entrada,124
4,entrada,308
5,entrada,172
1,entrega,123
2,entrega,143
3,entrega,88
4,entrega,69
5,entrega,99
1,escalera,198
2,escalera,36
3,escalera,24
4,escalera,138
5,escalera,45
1,escritorio,104
2,escritorio,54
3,escritorio,55
4,escritorio,98
5,escritorio,72
1,espacio,108
2,espacio,77
3,espacio,79
4,espacio,39
5,espacio,92
1,espectacular,61
2,espectacular,45
3,espectacular,111
4,espectacular,56
5,espectacular,100
1,esquina,90
2,esquina,57
3,esquina,62
4,esquina,93
5,esquina,76
1,estacion,90
2,estacion,84
3,estacion,79
4,estacion,50
5,estacion,81
1,estilo,89
2,estilo,38
3,estilo,60
4,estilo,69
5,estilo,59
1,estrenar,473
2,estrenar,600
3,estrenar,578
4,estrenar,239
5,estrenar,703
1,estudio,39
2,estudio,35
3,estudio,64
4,estudio,33
5,estudio,66
1,excelente,1042
2,excelente,812
3,excelente,947
4,excelente,847
5,excelente,1155
1,excelentes,66
2,excelentes,65
3,excelentes,95
4,excelentes,47
5,excelentes,81
1,expensas,273
2,expensas,112
3,expensas,105
4,expensas,213
5,expensas,127
1,fe,18
2,fe,37
3,fe,71
4,fe,13
5,fe,73
1,federal,347
2,federal,475
3,federal,974
4,federal,408
5,federal,297
1,fija,44
2,fija,62
3,fija,95
4,fija,39
5,fija,101
1,flores,167
2,flores,69
3,flores,104
4,flores,156
5,flores,82
1,fondo,42
2,fondo,18
3,fondo,61
4,fondo,80
5,fondo,25
1,forma,24
2,forma,62
3,forma,62
4,forma,38
5,forma,34
1,frente,897
2,frente,673
3,frente,678
4,frente,688
5,frente,739
1,garage,96
2,garage,13
3,garage,11
4,garage,118
5,garage,18
1,gran,284
2,gran,187
3,gran,276
4,gran,256
5,gran,283
1,guastello,83
2,guastello,82
3,guastello,68
4,guastello,3
5,guastello,1
1,gustavo,108
2,gustavo,100
3,gustavo,80
4,gustavo,7
5,gustavo,4
1,hall,218
2,hall,109
3,hall,124
4,hall,208
5,hall,167
1,hermoso,218
2,hermoso,148
3,hermoso,150
4,hermoso,149
5,hermoso,205
1,hollywood,13
2,hollywood,42
3,hollywood,92
4,hollywood,15
5,hollywood,62
1,hs,23
2,hs,29
3,hs,91
4,hs,25
5,hs,65
1,id,1229
2,id,767
3,id,567
4,id,158
5,id,42
1,ideal,139
2,ideal,91
3,ideal,104
4,ideal,109
5,ideal,109
1,impecable,158
2,impecable,101
3,impecable,140
4,impecable,121
5,impecable,141
1,importante,57
2,importante,29
3,importante,53
4,importante,49
5,importante,59
1,independiente,249
2,independiente,105
3,independiente,74
4,independiente,205
5,independiente,150
1,inmediata,57
2,inmediata,56
3,inmediata,59
4,inmediata,25
5,inmediata,42
1,inmejorable,38
2,inmejorable,51
3,inmejorable,61
4,inmejorable,50
5,inmejorable,61
1,inmobiliaria,68
2,inmobiliaria,28
3,inmobiliaria,21
4,inmobiliaria,90
5,inmobiliaria,64
